FlowerHead,Collector,Species name,State,County,Locality,Note,Ecoregion,Lat,Long,Number of samples
346,Edwards and Linan,Physaria globosa,NA,Posey,Big Cypress Slough,NA,Shawnee Hills,37.82094897,-88.00325397,24
347,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Franklin,EO 18 Cove Spring Area North of parking lot on 127 just north of its intersection with 421 (EO18),NA,Bluegrass,38.22313003,-84.85670001,11
348,"Edwards, Linan and Littlefield",Physaria globosa,NA,NA,NA,"KY, Franklin, Cove Spring reintroduction (EO30)  source: KY EOs18 and 28",Ex situ,38.22032,-84.84416303,24
349,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Franklin,Near intersection of Camp Pleasant Rd. and Gregory Woods Rd. (EO23a),NA,Bluegrass,38.31569499,-84.80877598,24
350,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Franklin,Bald Knob (EO07),NA,Bluegrass,38.20885196,-84.88518599,23
351,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Franklin,Ninevah Rd. (EO 04),NA,Bluegrass,38.11136297,-84.87653998,24
352,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Woodford,off Delaney Ferry Rd (Murphy property EO28),NA,Bluegrass/ partially cultivated,37.97017199,-84.69826201,24
353,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Jessamine,Creek Gorge Preserve,source: Julian Campbell’s yard (see 355),Ex situ,37.83057299,-84.64093197,24
354,"Edwards, Linan and Littlefield",Physaria globosa,Kentucky,Madison,Valley View (EO10a),NA,Bluegrass,37.84898601,-84.42967599,11
355,"Edwards, Linan and Littlefield",Physaria globosa,NA,NA,NA,"KY—Julian Campbell's yard in Lexington KY source: IN, KY (Jessamine county), TN (Davidson Co) 37.98322898	-84.49189",Ex situ,NA,NA,26
356,"Edwards, Albrecht, and Elam",Physaria globosa,Tennessee,Smith,North of Cordell Hull Dam Bluffs over Cumberland river (EO24),NA,Nashville Basin,36.3058,-85.9404,24
357,"Edwards, Albrecht, and Elam",Physaria globosa,Tennessee,Troutsdale,East of Hartsville Boat Ramp (EO03),NA,Nashville Basin,36.3736,-86.172,24
358,"Edwards, Linan and Dell",Physaria globosa,Tennessee,Davidson,McMinn’s bluff #1 (EO04),NA,Highland Rim,36.208363,-86.980126,24
359,"Edwards, Linan and Dell",Physaria globosa,Tennessee,Davidson,McMinn’s bluff #3 (EO10),NA,Highland Rim,36.213167,-86.961927,24
360,"Edwards, Linan and Dell",Physaria globosa,Tennessee,Cheatham,Lock B Rd. near Recycle Center/train tracks (EO01),NA,Highland Rim,36.242107,-87.042081,24
361,"Edwards, Linan and Dell",Physaria globosa,Tennessee,Montgomery,Jarrell Ridge Road (EO28),NA,Highland Rim,36.39425,-87.262326,9
362,"Edwards, Linan and Dell",Physaria globosa,Tennessee,Montgomery,King and Queen's Bluff (EO 12),NA,Highland Rim,36.501393,-87.318045,14
